qid,question,predicted,ground_truth,is_correct,choices
val_0002,Ngôi chùa Ba La Mật được khai dựng vào năm nào?,C,A,False,"['1886', '1900', '1920', '1930']"
val_0023,"Trong một phân tích tài chính, Emily nhận thấy rằng một công ty có tỷ số hiện hành là 1,5. Cô cũng nhận thấy rằng các khoản nợ ngắn hạn của công ty là 30.000 đô la. Để đánh giá thêm về tính thanh khoản của công ty, cô muốn tính toán vốn lưu động. Vốn lưu động của công ty là bao nhiêu?",D,A,False,"['15.000 đô la', '20.000 đô la', '30.000 đô la', '45.000 đô la']"
val_0024,Xét hàm số $ h(x) = x^4 - 4x^3 + 6x^2 - 4x + 1 $. Giả sử $ k(x) $ là đạo hàm bậc hai của $ h(x) $. Hàm số $ h(x) $ có bao nhiêu điểm uốn?,B,A,False,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']"
val_0025,Công thức hoá học của oxit có thành phần phần trăm của S là 40%:,A,B,False,"['SO2.', 'SO3.', 'SO.', 'S2O4.']"
val_0029,"Theo thông tin được cung cấp, tỉnh nào sau đây đã được sáp nhập vào tỉnh Gia Lai để hình thành tỉnh Gia Lai hiện tại?",B,A,False,"['Bình Định', 'Đắk Lắk', 'Quảng Ngãi', 'Phú Yên']"
val_0035,"Theo quy trình cấp Chứng nhận trường mầm non đạt kiểm định chất lượng giáo dục, thành phần hồ sơ bắt buộc gồm những tài liệu nào?",C,B,False,"['01 bản chính báo cáo tự đánh giá và 02 bản chính công văn đăng ký', '02 bản chính báo cáo tự đánh giá và 01 bản chính công văn đăng ký', '01 bản chính báo cáo tự đánh giá và 01 bản chính công văn đăng ký', '02 bản chính báo cáo tự đánh giá và 02 bản chính công văn đăng ký']"
val_0040,"Một nhà nghiên cứu đang kiểm định giả thuyết không $ H_0: \mu = 50 $ đối với giả thuyết thay thế $ H_1: \mu > 50 $ bằng cách sử dụng một mẫu có kích thước $ n = 36 $ từ một quần thể có phân phối chuẩn với phương sai chưa biết. Giá trị trung bình mẫu là $ \bar{x} = 53 $ và độ lệch chuẩn mẫu là $ s = 6 $. Trong số các phát biểu sau, phát biểu nào là đúng về giá trị thống kê t?",D,E,False,"['Giá trị thống kê t nhỏ hơn 1,0', 'Giá trị thống kê t nằm trong khoảng từ 1,0 đến 1,5', 'Giá trị thống kê t nằm trong khoảng từ 1,5 đến 2,0', 'Giá trị thống kê t nằm trong khoảng từ 2,0 đến 2,5', 'Giá trị thống kê t lớn hơn 2,5', 'Giá trị thống kê t chính xác bằng 1,0', 'Giá trị thống kê t chính xác bằng 1,5', 'Giá trị thống kê t chính xác bằng 2,0', 'Giá trị thống kê t chính xác bằng 2,5', 'Giá trị thống kê t không thể xác định được mà không có mức ý nghĩa']"
val_0053,"Đoạn thông tin:
Title: Cổ Thiên Lạc
Content: Cổ Thiên Lạc (sinh ngày 21 tháng 10 năm 1970) là một diễn viên và ca sĩ người Hồng Kông. Anh từng là gương mặt nổi bật và diễn viên chủ chốt của đài truyền hình trung ương TVB TV drama. Anh từng đoạt giải TVB cho nam diễn viên xuất sắc nhất (Best Actor) trong năm 1999 cho vai diễn Từ Phi trong loạt phim Hồ sơ trinh sát 4 . Năm 2001 sau khi hoàn thành vai diễn Hạng Thiếu Long trong phim Cỗ Máy Thời gian (phim giúp Cổ Thiên Lạc lần thứ hai thắng giải thị đế) anh rời TVB và chỉ tập trung vào phim điện ảnh. Cổ Thiên Lạc là một trong những diễn viên nổi tiếng và được yêu thích nhất của điện ảnh Hoa ngữ (Điện ảnh Hồng Kông), và là gương mặt đại diện cho các thương hiệu quảng cáo như: Pepsi, Osim, Tag Heuer, Lotte, Zero Eyewear, Lay's, và những sản phẩm nội địa khác.

I. Thân thế và sự nghiệp

Trước khi đến với điện ảnh, Cổ Thiên Lạc đã từng ngồi tù vì tội ăn cắp. Sau đó anh thay đổi và sống tích cực hơn. Anh làm nhiều công việc khác nhau như hầu bàn, bán đồ ăn nhanh, bảo vệ,... Sau này anh tâm sự rằng cuộc sống dễ đưa thanh niên trẻ lầm đường lạc bước, anh khuyên các bạn trẻ trước khi làm gì hãy nên nghĩ tới người thân và tương lai của mình. Anh cũng dành nhiều lời tâm sự rất chân tình về những tháng ngày tuổi trẻ phải cực khổ kiếm ăn, cho đến khoảng thời gian anh lầm đường lạc bước, vào trại cải tạo vì nhận tội giùm anh em. Cổ Thiên Lạc siêng năng làm nhiều công việc lao động chân tay khác nhau, cho đến khi anh tình cờ được phát hiện và mời làm người mẫu cho những cuốn băng karaoke MTV nhờ đẹp trai (trường hợp tương tự xảy ra với Takeshi Kaneshiro). Cho đến năm 1993 thì TVB ký hợp đồng với Cổ Thiên Lạc, từ đó anh phấn đấu không ngừng để trở thành một trong những nam diễn viên chính xuất sắc và có số lượng fan hâm mộ đông đảo nhất. Nhất là từ khi anh đi tập tạ, nhuộm da cho rám nắng, cắt tóc ngắn, giữ vẻ mặt phong cách lạnh lùng trong những bộ phim anh đóng thì số fan nữ càng tăng lên đáng kể. Hình ảnh nam tính của Cổ Thiên Lạc sau khi nhuộm da khác hẳn vẻ thư sinh yếu đuối trong những ngày đầu tiên. Fan hâm mộ khen ngợi nhiệt liệt. Có thời gian anh được xếp số một trong danh sách những nam diễn viên đẹp trai nhất trên cả Lưu Đức Hoa, Takeshi Kaneshiro, Tạ Đình Phong,...
Cổ Thiên Lạc là một trong những diễn viên siêng năng nhất. Cho dù thuộc hàng diễn viên ""top"" nhưng anh không hề chê kịch bản. Hễ có ai mời là anh tham gia, từ phim ma, phim xã hội đen, phim tình cảm, phim trinh thám, phim hài, phim kiếm hiệp,... như có lần anh đã nói: ""Có vai diễn tại sao không tham gia? Tôi lao động quen rồi nên thích kiếm tiền lắm và ít từ chối lời mời công việc lắm. Hơn nữa đây cũng là dịp cho tôi thử nhiều loại vai khác nhau, hoàn thiện khả năng diễn xuất"".
Sau giải thưởng năm 1999, đến năm 2001, Cổ Thiên Lạc một lần nữa được bầu làm nam diễn viên được yêu thích nhất cho vai Hạng Thiếu Long (項少龍) trong bộ phim truyền hình TVB ""Cỗ máy thời gian"" (尋秦記, A Step into the Past dựa trên tác phẩm Tầm Tần Ký của Huỳnh Dị), đồng thời kiêm luôn giải ""Nam nghệ sĩ có phong cách thời trang nhất"" (The Most Stylish Personality Award and Men of Power) cùng trong năm 2001.
Những phim truyền hình Cổ Thiên Lạc để lại ấn tượng là vai Dương Quá (楊過) trong ""Thần điêu hiệp lữ 1995"" (神鵰俠侶) đóng cặp với Lý Nhược Đồng; vai trung sĩ cảnh sát Từ Phi trong phim ""Hồ Sơ Trinh Sát 4"" cùng với Tuyên Huyên, Trần Cẩm Hồng, Xa Thi Mạn, vai phản diện Trương Tự Lực trong ""Thử Thách Nghiệt Ngã "" (創世紀II天地有情), và Hạng Thiếu Long trong phim Cỗ máy thời gian cùng vô số các vai diễn khác trước đó trong ""Giáo sư ưu ái"", ""Liệt hỏa hùng tâm"", ""Lệnh truy nã"", ""Duyên tình đôi chủ""...
Sau thời gian đóng phim lẻ xã hội đen, và một loại phim ma trong series ""Âm Dương Lộ"" (Troublesome Night) khoảng thời gian đầu những năm 2000 Cổ Thiên Lạc chuyển sang những vai hài, lãng mạn trong những cuốn phim tình cảm nhẹ nhàng. Và anh đã ngay lập tức tạo được hình tượng mới, phong độ, ga-lăng, vui tính, lãng mạn, hiền lành... khác hẳn hình ảnh giang hồ xã hội đen, lầm lì, ít nói, lạnh lùng,... mà anh đã tạo ra trước đó. Chỉ cần nghe tên Cổ Thiên Lạc thì khán giả đã hình dung ra nhân vật trong bộ phim rồi.
Ngoài điện ảnh Cổ Thiên Lạc cũng làm một cuộc dạo chơi trong âm nhạc. Anh hát mấy bài nhạc chủ đề cho những phim truyền hình mình đóng. Ngoài ra còn vài ca khúc khác cũng khiến bạn trẻ thích thú trong những album của anh. Album được chú ý nhất của Cổ Thiên Lạc là ""Mr.Cool"". Từ đó fan hâm mộ kêu anh luôn bằng biệt danh này ""Mister Cool"" thì thấy hợp với tên của anh. Tên tiếng Anh của Cổ Thiên Lạc là Louis Koo, hay là Koo Louis. Viết tắt sẽ thành ""Koo L"". Viết gần nhau thì thành ""KooL"", đọc tương tự như ""cool"". Anh còn biết danh khác là Cool Jay.
Vai phản diện gần đây nhất của Cổ Thiên Lạc là tay xã hội đen sát máu Jimmy trong ""Tranh giành quyền lực"" (Election phần 1 và 2). Anh nhận được những lời ngợi khen của nhiều chuyên gia quốc tế qua vai diễn xuất sắc này khi bộ phim Election 2 (còn gọi là Triad Election) được đem đi trình chiếu tại liên hoan phim Cannes năm 2006.

II. Học vấn

Cổ Thiên Lạc là cựu học sinh của trường trung học ""Thánh Teresa"" (St. Teresa's School Kowloon).

III. Ca nhạc

Ngoài diễn viên, Cổ Thiên Lạc còn làm ca sĩ và phát hành vài album:

2000：男朋友: Bạn trai
2000：今期流行
2001：樂天: Lạc thiên
2003：Mr. Cool
2006：藍色的緣份Anh hát ca khúc chủ đề cho một số phim truyền hình TVB mình từng tham gia: Lệnh Truy Nã, Thời đại chiến quốc (Cỗ máy thời gian), Hồ sơ vụ án 4, Thời đại khủng hoảng (Thử thách nghiệt ngã).
Năm 2004, anh đến Việt Nam giao lưu cùng fan hâm mộ tại sân khấu Lan Anh. Trong đêm diễn anh song ca bài ""Bạn trai"" cùng ca sĩ Phương Thanh.
Câu hỏi: Biệt danh 'Mr. Cool' của Cổ Thiên Lạc có nguồn gốc từ yếu tố nào sau đây?",B,A,False,"[""Album 'Mr. Cool'"", 'Viết tắt tên tiếng Anh của anh là KooL', ""Vai diễn Hạng Thiếu Long trong 'Cỗ Máy Thời Gian'"", ""Bài hát 'Bạn trai' trong album 2000""]"
val_0055,Cuộc thi người mẫu nào tổ chức quy mô toàn quốc phải có giấy phép của ai?,B,A,False,"['Cục Nghệ thuật biểu diễn', 'Bộ Văn hóa, Thể thao và Du lịch', 'Ủy ban nhân dân cấp tỉnh', 'Sở Văn hóa, Thể thao và Du lịch']"
val_0059,"Một tụ điện có điện dung 100 μF được nạp đến điện áp 120V. Sau đó, nó được xả qua một điện trở 500 ohm. Thời gian cần thiết để điện áp trên tụ giảm xuống còn 37% giá trị ban đầu là bao lâu?",B,A,False,"['0.05 giây', '0.1 giây', '0.2 giây', '0.5 giây', '1 giây', '2 giây', '5 giây', '10 giây', '20 giây', '50 giây']"
